dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSWS01,9/23/2014 10:20,0.115,0.115,9/29/2014 14:48,0.149,0.145,V-notch removed 9/29@1448. Leaves blocking V before removal
HF002,6,GSWS01,9/29/2014 14:48,0.024,0.024,10/7/2014 9:16,0.020,0.022,
HF002,6,GSWS01,10/7/2014 9:16,0.020,0.022,10/14/2014 18:18,0.028,0.028,Leaves blocking flume 10/14@1818
HF002,6,GSWS01,10/14/2014 18:18,0.025,0.028,10/21/2014 11:38,0.073,0.077,
HF002,6,GSWS01,10/21/2014 11:38,0.078,0.077,10/28/2014 11:15,0.081,0.081,
HF002,6,GSWS01,10/28/2014 11:15,0.081,0.081,11/4/2014 19:23,0.252,0.253,
HF002,6,GSWS01,11/4/2014 19:23,0.252,0.253,11/24/2014 17:17,0.234,0.233,
HF002,6,GSWS01,11/24/2014 17:17,0.234,0.233,12/16/2014 16:54,0.136,0.135,
HF002,6,GSWS01,12/16/2014 16:54,0.136,0.135,12/23/2014 11:05,0.412,0.422,Flume entry pool cleaned 12/23@1105
HF002,6,GSWS01,12/23/2014 11:05,0.418,0.422,1/6/2015 17:55,0.150,0.150,
HF002,6,GSWS01,1/6/2015 17:55,0.150,0.150,1/27/2015 10:43,0.127,0.124,
HF002,6,GSWS01,1/27/2015 10:43,0.127,0.124,2/17/2015 16:46,0.133,0.131,
HF002,6,GSWS01,2/17/2015 16:46,0.133,0.131,3/10/2015 15:33,0.067,0.072,
HF002,6,GSWS01,3/10/2015 15:33,0.067,0.072,3/31/2015 14:51,0.142,0.143,
HF002,6,GSWS01,3/31/2015 14:51,0.142,0.143,4/21/2015 15:45,0.095,0.098,Algea cleaned off flume 4/21.
HF002,6,GSWS01,4/21/2015 15:45,0.097,0.097,4/28/2015 15:04,0.086,0.084,Datalogger replaced with CR1000 4/82@1510
HF002,6,GSWS01,4/28/2015 15:04,0.086,0.084,5/5/2015 15:44,0.067,0.065,
HF002,6,GSWS01,5/5/2015 15:44,0.067,0.065,5/12/2015 17:38,0.064,0.063,
HF002,6,GSWS01,5/12/2015 17:38,0.064,0.063,5/26/2015 15:59,0.061,0.060,
HF002,6,GSWS01,5/26/2015 15:59,0.061,0.060,6/4/2015 8:50,0.052,0.050,
HF002,6,GSWS01,6/4/2015 8:50,0.052,0.050,6/9/2015 12:13,0.043,0.039,Algea cleaned off flume 6/9.
HF002,6,GSWS01,6/9/2015 12:13,0.041,0.039,6/17/2015 7:41,0.040,0.037,V-notch installed 6/17@0741.
HF002,6,GSWS01,6/17/2015 7:41,0.204,0.204,6/24/2015 8:15,0.190,0.190,
HF002,6,GSWS01,6/24/2015 8:15,0.190,0.190,6/30/2015 11:10,0.175,0.174,
HF002,6,GSWS01,6/30/2015 11:10,0.175,0.174,7/6/2015 17:02,0.130,0.132,
HF002,6,GSWS01,7/6/2015 17:02,0.130,0.132,7/15/2015 10:25,0.143,0.141,
HF002,6,GSWS01,7/15/2015 10:25,0.143,0.141,7/21/2015 14:06,0.114,0.106,V-notch blocked by debris.
HF002,6,GSWS01,7/21/2015 14:06,0.106,0.106,,,,
